filename,title,abstract,abstractSource,publication,full_text_path,repository
A Comparative Study of Pre-Trained Models in Breast Ultrasound Image Segmentation.pdf,A comparative study of pre-trained models in breast ultrasound image segmentation,"In recent years, several deep learning architectures have emerged achieving impressive results in breast ultrasound image segmentation, despite the fact that the problem itself is challenging, because of the variation in lesion size and unequal distribution of intensity in the lesion area. Many of these methods were trained and evaluated on a specific dataset, the Breast Ultrasound Images (BUSI), as it was one of the first publicly available datasets in the field with expert annotations. However, recently, problems with the dataset have been discovered. We conducted our research to estimate, through a few selected methods, the extent to which problems with the dataset make the performance values reported in recent years unreliable. To achieve this, the selected procedures were trained and evaluated along the same methodology on the original and the cleaned datasets. Our results indicate that results related to the BUSI collection should be treated with serious caution.",label,journal,data/full_texts\A Comparative Study of Pre-Trained Models in Breast Ultrasound Image Segmentation.txt,ieee
A new designed descriptor for road sign recognition.pdf,A new designed descriptor for road sign recognition,"Road sign recognition (RSR) systems are one of the main tasks of intelligent transportation systems (ITS). These systems employ vehicle mounted cameras to identify trafﬁc signs while driving on the road. Their primary function is to inform the driver of recent trafﬁc signs that may have been missed due to distraction or inattentiveness. In this work, a new method for road sign detection and recognition is proposed. The proposed approach is divided into three stages: ﬁrst, a color segmentation method is used to extract regions of interest (ROIs). Then, we refer to polygonal approximation technique to detect triangular, rectangular, and circular shapes. The last stage aims at recognizing the detected signs using a new designed feature and SVM classiﬁer. The proposed approach was tested on two publicly available datasets, and the results obtained are satisfying compared to the state-of-the-art methods.",label,JOURNAL,data/full_texts\A new designed descriptor for road sign recognition.txt,ieee
A Review of Automatic Road Sign Recognition Systems.pdf,A review of automatic road sign recognition systems,"Traffic-signs recognition(TSR) systems are an inherent element of Intelligent Transport Systems (ITS), which is why it’s considered a necessary element of Advanced Driver Assistance Systems (ADAS). One of our biggest challenges for driver assistance systems requires realizing the surrounding environment while driving the car. This paper details standard Traffic-signs recognition(TSR) system methods used in recent research. Features and classifiers used in modern TSR system methods are introduced and discussed. Most of these methods achieve great precision (accuracy of 98%) when tested in the German Traffic Sign Recognition Benchmark (GTSRB), the most extensively employed and publicly accessible TSR dataset. The paper compares the latest techniques by evaluating their processing time and precision. Furthermore, a discussion of possible future work is provided.",label,JOURNAL,data/full_texts\A Review of Automatic Road Sign Recognition Systems.txt,ieee
A Review of Social Media Sentiment Analysis Using Machine Learning To Enhance Stock Market Prediction.pdf,A Review of Social Media Sentiment Analysis Using Machine Learning To Enhance Stock Market Prediction,"Predicting stock prices is a critical financial activity that is frequently impacted by sentiment analysis, machine learning, and data mining approaches. This examination looks at a variety of stock price prediction methods, including artificial neural networks, graph-based approaches, time series analysis, and classic machine learning techniques such as Support Vector Machine, K-Nearest Neighbor, and Random Forest. The article assesses the problems and efficacy of various methodologies, including a thorough examination of sentiment analysis in social media to enhance stock market predictions. By examining multiple research, this study provides a complete evaluation of various prediction algorithms and reveals their shortcomings, such as overfitting, non-stationary data, and the complexity of financial transactions. It helps academics and practitioners construct more accurate and dependable stock forecasting models by merging financial data with sentiment analysis. The study also discusses rising trends and new potential for further study, especially hybrid models and advanced deep learning approaches to improve the accuracy of stock forecasts.",label,Publication not identified,data/full_texts\A Review of Social Media Sentiment Analysis Using Machine Learning To Enhance Stock Market Prediction.txt,ieee
A Survey of Chinese Character Recognition Research Based on Deep Learning.pdf,A Survey of Chinese Character Recognition Research Based on Deep Learning,"Chinese character recognition has always attracted much attention in our country and is widely used in our lives and work. The combination of deep learning and neural networks and other algorithms has greatly improved the accuracy and speed. This article reviews the research status and related background of deep learning in the field of Chinese character recognition. First, it introduces the development process of Chinese character recognition and neural network algorithms. Secondly, it describes the Chinese character recognition architecture based on neural network, classifies and outlines the relevant methods of handwritten Chinese character recognition in simple scenarios and text recognition in complex scenarios, explains the construction and characteristics of network models, and analyzes and summarizes the characteristics of each network model. The shortcomings, and finally prospects for future research.",label,Journal,data/full_texts\A Survey of Chinese Character Recognition Research Based on Deep Learning.txt,ieee
AI ChatGPT in Academic Information Technology Engineering to Increase the Engagement of Extracurricular Performance from Students with Disabilities.pdf,AI ChatGPT in Academic Information Technology Engineering to Increase the Engagement of Extracurricular Performance from Students with,"Artificial Intelligence (AI) with Natural Language Processing (NLP) has grown rapidly in its usage in many fields. One area it's extensively used is in the academic activity for learning purposes. However, its use in the academic field regarding extracurricular activities for disabled students remains scarce. This research aims to create a procedure and design framework for implementing ChatGPT as a tool with IT Engineering to support disabled students in extracurricular activities. The analysis of student feedback will also be used to revise the procedure and the design framework further. With it, the disabled student will be able to carry out their task closely with the normal students. The procedure and framework from the research result could also be used as a reference for other campuses to help their disabled student in the extracurricular program.",label,Journal,data/full_texts\AI ChatGPT in Academic Information Technology Engineering to Increase the Engagement of Extracurricular Performance from Students with Disabilities.txt,ieee
An AI Solution for Web Accessibility and Images Classification.pdf,An AI Solution for Web Accessibility and Images,"This article details the research on web accessibility conducted at Capgemini’s SogetiLabs. We introduce our project aimed at developing an automatic accessibility audit tool for website images. Our AI solution for web accessibility focuses on distinguishing between informative and decorative images in line with RGAA (R´ef´erenciel G´en´eral d’Am´elioration de l’Acessibilit´e) recommendations and then generating alternative text for informative images. To achieve this, we have established a comprehensive processing workflow. Additionally, we present initial experiments in image classification using Convolutional Neural Networks (CNNs) and YOLO’s (You Only Look Once) model.",label,revue,data/full_texts\An AI Solution for Web Accessibility and Images Classification.txt,ieee
An efficient positional algorithm for recognition of ancient stone inscription characters.pdf,An Efficient Positional Algorithm for Recognition of Ancient Stone Inscription Characters,"Recognition of inscribed characters on stone is an essential part of our work to reveal information’s of our ancestors. The concept of Optical Character Recognition is not adopted as the rock surface becomes texture of an image posing challenges in recovering the text. In this paper, we propose a new feature called Positional Distance Metric which is independent to any language script to address the various issues occurred on stone inscribed images. Then Image based and Zone based Normalized Positional Distance Metric (INPDM/ZNPDM) feature is computed and combined with structural and regional features to yield a better recognition rate. We repeated this procedure for all the training images and finally populated in to the list. Nearest Neighbor classifier is used for subsequent classification and recognition of characters. Experiments are performed on 350 characters and showed significant recognition rate.",label,Journal,data/full_texts\An efficient positional algorithm for recognition of ancient stone inscription characters.txt,ieee
An improved FPGA based model for automatic traffic sign detection.pdf,An Improved FPGA based Model for Automatic Traffic Sign Detection,"This paper describes a vital algorithm designed on a single integrated circuit chip. Using this chip, the traffic signals are monitored automatically depending on the mass of vehicles crossing a particular lane. It not only saves valuable time but also reduces the human which is highly required in this busy world. The other vital function of the chip is that it serves as an automatic traffic sign detector. The images of the traffic signs are processed by the chip to categorize the signs under a known category. This involves the use of image processing techniques. This function of the chip reduces human error related issues by alerting the vehicle’s driver to react on time thus reducing the potential traffic accidents The chip is so designed that when compared to all its previous counterparts it takes very little amount of time. Thus the chip serves the purpose of automatic traffic sign detector, when embedded in a vehicle. This results in area and cost reduction in designing the chip which is always looked for by any designer.",label,journal,data/full_texts\An improved FPGA based model for automatic traffic sign detection.txt,ieee
Ancient Tamil Character Recognition from Stone Inscriptions - A Theoretical Analysis.pdf,Ancient Tamil Character Recognition from Stone,"Character recognition on inscriptions is an area which explores our knowledge of an ancient language. Inscriptions were done in all kinds of environments. This work focuses on recognizing Tamil language characters on stone-based images. From the inscription images, we come to know about the importance of old century languages. Some of the general challenges researchers face in recognizing the characters in stone inscriptions are differentiating the foreground pixel from the background stone images, perspective distortion, different light illumination, the same kind of background/foreground, damaged stones, lack of shape and size of the text. Despite the different ways proposed by the researchers, obstacles and issues continue to exist. This survey attempts to give a detailed analysis of the recent research works on character recognition from the images of stone inscriptions with a special reference to Tamil. It details the methods applied for preprocessing, feature extraction and classification. It gives a road map for future researchers who wish to carry out research in this area.",label,Journal,data/full_texts\Ancient Tamil Character Recognition from Stone Inscriptions - A Theoretical Analysis.txt,ieee
Auto Local Threshold Analysis of Prehistoric Cave Art in Leang-Leang Archaeological Park- South Sulawesi- Indonesia.pdf,Auto Local Threshold Analysis of Prehistoric Cave,"This research investigates the application of local threshold analysis methods to study cave murals, especially hanprints at rocak art the Leang-Leang Site in South Sulawesi, Indonesia. Using the Contrast Limited Adaptive Histogram Equalization method and the local thresholding technique, this study reveals intricate micro-details that are difficult to see through manual observation. The findings in this study reveal fine details, such as more than 10 rock arts with certain placements. This research reveals the diverse motifs and patterns present in the paintings, providing insight into the processes used in their creation and the evolution of artistic styles over time. This approach contributes significantly to the conservation and understanding of this distinct cultural heritage while providing opportunities for further investigation of prehistoric art in the region.",label,Journal,data/full_texts\Auto Local Threshold Analysis of Prehistoric Cave Art in Leang-Leang Archaeological Park- South Sulawesi- Indonesia.txt,ieee
Automatic Emoticons Insertion System based on Acoustic Information of User Voice 2st Report on Feature Selection for Emotion Estimation using Machine Learning.pdf,Automatic Emoticons Insertion System based on,"In social media, text information has the aspect that it is difficult to convey the nuances and emotions to the other people. Moreover, manual texting is a time-consuming task. Therefore, this research proposes a system that creates text information by voice input, and automatically insert emoticons matching the user's emotion using the acoustic information. This paper reports that feature selection was performed using various methods to improve the accuracy. As a result, 88 features were selected from 988 features by Forward Feature Selection, and the generalization performance was improved from 59.66% to 64.97%.",label,Publication not identified,data/full_texts\Automatic Emoticons Insertion System based on Acoustic Information of User Voice 2st Report on Feature Selection for Emotion Estimation using Machine Learning.txt,ieee
